VotingDistrict,ward_id,metro,station,station_type,registered,turnout,tent,pred_turnout,gap_pp,low_turnout_flag
32890349,79700006,Ekurhuleni,CHILD ACADEMY EDUCARE CENTRE,School,1768,0.509,0,0.4204,8.86,0
32890305,79700007,Ekurhuleni,THUTO KE MATLA COMPREHENSIVE SCHOOL,School,2170,0.4751,0,0.4171,5.8,0
32890316,79700007,Ekurhuleni,TRANSVAAL BASOTHO LUTHERN CHURCH,Church,3050,0.4764,0,0.4171,5.93,0
32890327,79700007,Ekurhuleni,BERTHARRY ENGLISH PRIVATE SCHOOL,School,3477,0.4553,0,0.4171,3.82,0
32890260,79700008,Ekurhuleni,EMANGWENI PRIMARY SCHOOL,School,3430,0.4364,0,0.4111,2.53,0
32890271,79700008,Ekurhuleni,UNITED CONGREGATIONAL CHURCH OF S.A.,Church,3218,0.4257,0,0.4111,1.46,0
32890709,79700008,Ekurhuleni,MUNICIPAL BUILDING ESSELENPARK EXT. 1,Other,4138,0.4901,0,0.4111,7.9,0
32890361,79700009,Ekurhuleni,SEOTLOANA PRIMARY SCHOOL,School,4042,0.4292,0,0.4148,1.44,0
32890372,79700009,Ekurhuleni,BULAMEHLO CREHCHE,Other,2957,0.4011,0,0.4148,-1.37,0
32890383,79700009,Ekurhuleni,GEREFORMEERDE KERK TEMBISA WEST,Church,1743,0.5049,0,0.4148,9.01,0
32890394,79700010,Ekurhuleni,BOJELONG PRIMARY SCHOOL,School,3525,0.5163,0,0.414,10.23,0
32890417,79700010,Ekurhuleni,WELAMLAMBO PRIMARY SCHOOL,School,1760,0.4301,0,0.414,1.61,0
32900150,79700010,Ekurhuleni,KHATLAMPING PRIMARY SCHOOL,School,4128,0.5266,0,0.414,11.26,0
32900161,79700011,Ekurhuleni,IPONTSHE PRIMARY SCHOOL,School,3302,0.4918,0,0.4178,7.4,0
32900172,79700011,Ekurhuleni,METHODIST CHURCH OF SA,Church,2657,0.4784,0,0.4178,6.06,0
32900183,79700011,Ekurhuleni,PHUTHUMANI PRIMARY SCHOOL,School,4076,0.4755,0,0.4178,5.77,0
32900116,79700012,Ekurhuleni,OR TAMBO PRIMARY SCHOOL,School,5210,0.4651,0,0.4043,6.08,0
32900127,79700012,Ekurhuleni,PHOMOLONG PRIMARY SCHOOL,School,5112,0.4754,0,0.4043,7.11,0
32900149,79700012,Ekurhuleni,PETER ZONGWANE PRIMARY SCHOOL,School,4695,0.4166,0,0.4043,1.23,0
32890529,79700013,Ekurhuleni,BIRCH ACRES PRIMARY SCHOOL,School,4257,0.6347,0,0.4278,20.69,0
32890697,79700013,Ekurhuleni,DOMINION LIFE CATHEDRAL CHURCH ( BIRCH ACRES),Church,3741,0.5122,0,0.4278,8.44,0
32900138,79700013,Ekurhuleni,PHOMOLONG SECONDARY SCHOOL,School,5596,0.4723,0,0.4278,4.45,0
32890428,79700014,Ekurhuleni,NYIKO PRIMARY SCHOOL,School,3193,0.4986,0,0.4245,7.41,0
32890439,79700014,Ekurhuleni,MASISEBENZE COMPREHENSIVE SCHOOL,School,3640,0.4986,0,0.4245,7.41,0
32890440,79700014,Ekurhuleni,MASIQHAKAZE SECONDARY SCHOOL,School,2708,0.5543,0,0.4245,12.98,0
32890013,79700015,Ekurhuleni,LAERSKOOL KRUINSIG,School,6256,0.6124,0,0.5965,1.59,0
32890507,79700015,Ekurhuleni,WYNAND MARAIS HALL,Hall/Centre,4448,0.6432,0,0.5965,4.67,0
32890552,79700015,Ekurhuleni,HOËRSKOOL JEUGLAND,Other,4133,0.7401,0,0.5965,14.36,0
32890024,79700016,Ekurhuleni,ASTON MANOR PRIMARY SCHOOL,School,2752,0.7278,0,0.5706,15.72,0
32890046,79700016,Ekurhuleni,THE OLD APOSTOLIC CHURCH,Church,3093,0.7297,0,0.5706,15.91,0
32890585,79700016,Ekurhuleni,CIVIC CENTRE KEMPTON PARK,Hall/Centre,4159,0.4323,0,0.5706,-13.83,0
32890035,79700017,Ekurhuleni,LAERSKOOL KEMPTON PARK,School,3503,0.445,0,0.5731,-12.81,0
32890608,79700017,Ekurhuleni,CRESSLAWN PRIMARY SCHOOL,School,4215,0.6318,0,0.5731,5.87,0
33020480,79700017,Ekurhuleni,SUMMERFIELD PRIMARY SCHOOL,School,4567,0.7859,0,0.5731,21.28,0
32900037,79700018,Ekurhuleni,TRINITY PRESBYTERIAN CHURCH,Church,2540,0.7228,0,0.5999,12.29,0
32900048,79700018,Ekurhuleni,EDENVALE COMMUNITY CENTRE,Hall/Centre,3390,0.6581,0,0.5999,5.82,0
32900082,79700018,Ekurhuleni,EDENGLEN PRIMARY SCHOOL,School,6793,0.681,0,0.5999,8.11,0
32900015,79700019,Ekurhuleni,DUNVEGAN PRIMARY SCHOOL,School,3236,0.7271,0,0.6175,10.96,0
32900026,79700019,Ekurhuleni,EDENVALE HIGH SCHOOL,School,2601,0.722,0,0.6175,10.45,0
32900059,79700019,Ekurhuleni,NEWDAY  CHURCH,Church,1974,0.6459,0,0.6175,2.84,0
33060800,79700020,Ekurhuleni,BEDFORDVIEW HIGH SCHOOL,School,1863,0.6495,0,0.5924,5.71,0
33060811,79700020,Ekurhuleni,BEDFORDVIEW CITY HALL,Hall/Centre,4944,0.6379,0,0.5924,4.55,0
33060822,79700020,Ekurhuleni,CORNERSTONE CHURCH,Church,2227,0.731,0,0.5924,13.86,0
33020514,79700021,Ekurhuleni,THEMBELIHLE DAY CARE CENTRE,Hall/Centre,3976,0.4263,0,0.4055,2.08,0
33020716,79700021,Ekurhuleni,JERUSALEM CHURCH,Church,2415,0.4853,0,0.4055,7.98,0
33020727,79700021,Ekurhuleni,TSWELOPELE PRE SCHOOL AND CRECHE,School,1117,0.4244,0,0.4055,1.89,0
33020536,79700022,Ekurhuleni,LAERSKOOL CONCORDIA,School,4821,0.6965,0,0.591,10.55,0
33020569,79700022,Ekurhuleni,LAERSKOOL GOUDRAND,School,3981,0.6207,0,0.591,2.97,0
33020570,79700022,Ekurhuleni,WHISPERING WILLOW CONFERENCE CENTRE,Hall/Centre,2220,0.727,0,0.591,13.6,0
32890057,79700023,Ekurhuleni,BONAERO PARK PRIMARY SCHOOL,School,4792,0.6455,0,0.5958,4.97,0
32890866,79700023,Ekurhuleni,EVANGELICAL LUTHERAN CONGREGATION  - KEMPTON PARK,Other,1022,0.8885,0,0.5958,29.27,0
33010625,79700023,Ekurhuleni,LADY FATIMA CHURCH,Church,3559,0.7297,0,0.5958,13.39,0
33010580,79700024,Ekurhuleni,MUSIC ACADEMY OF GAUTENG,School,1198,0.5392,0,0.5443,-0.51,0
33010591,79700024,Ekurhuleni,CRYSTAL PARK HEALTH CLINIC,Other,2868,0.5921,0,0.5443,4.78,0
33010614,79700024,Ekurhuleni,KATHSTAN COLLEGE,School,2913,0.7161,0,0.5443,17.18,0
32890226,79700025,Ekurhuleni,BREDEL LAERSKOOL,School,4381,0.6156,0,0.552,6.36,0
32890877,79700025,Ekurhuleni,OOSRAND AKADEMIE,Other,2491,0.8535,0,0.552,30.15,0
33010568,79700025,Ekurhuleni,PUTFONTEIN PRIMARY SCHOOL,School,1821,0.7199,0,0.552,16.79,0
33010142,79700026,Ekurhuleni,BARCELONA SHOW HOUSES(WATER TANK),Other,3101,0.4831,0,0.4155,6.76,0
33010153,79700026,Ekurhuleni,ETWATWA EXT 23 NEW SCHOOL,School,1943,0.5476,0,0.4155,13.21,0
33010164,79700026,Ekurhuleni,ELOHIM COMMUNITY CHURCH,Church,2864,0.5262,0,0.4155,11.07,0
33010647,79700027,Ekurhuleni,EAST RAND SPEEDBOAT CLUB,Other,3665,0.7517,0,0.6083,14.34,0
33010658,79700027,Ekurhuleni,ST ANDREWS COMMUNITY CHURCH,Church,3872,0.7151,0,0.6083,10.68,0
33010669,79700027,Ekurhuleni,JOHN BARRABLE HALL,Hall/Centre,4644,0.7315,0,0.6083,12.32,0
33010681,79700028,Ekurhuleni,BELVEDERE SCHOOL,School,5082,0.718,0,0.6033,11.47,0
33010715,79700028,Ekurhuleni,BENONI BAPTIST CHURCH,Church,3807,0.7376,0,0.6033,13.43,0
33010726,79700028,Ekurhuleni,GAUTENG EASTERN TENNIS ASSOCIATION,Other,3642,0.6233,0,0.6033,2.0,0
33010760,79700029,Ekurhuleni,SIYENZIWE DAY CARE,Other,3003,0.4412,0,0.4537,-1.25,0
33010771,79700029,Ekurhuleni,ST JOSEPH'S CATHOLIC CHURCH HALL,Church,1556,0.6157,0,0.4537,16.2,0
33010782,79700029,Ekurhuleni,ACTONVILLE COMMUNITY HALL,Hall/Centre,3326,0.5352,0,0.4537,8.15,0
33010793,79700030,Ekurhuleni,SOLOMON MOTLANA PRIMARY SCHOOL,School,2127,0.5604,0,0.4298,13.06,0
33010816,79700030,Ekurhuleni,ISAAC MAKAU PRIMARY SCHOOL,School,1983,0.5608,0,0.4298,13.1,0
33010827,79700030,Ekurhuleni,WATTVILLE DAYCARE CENTRE,Hall/Centre,2830,0.5413,0,0.4298,11.15,0
33010209,79700031,Ekurhuleni,EKUKHANYENI INTERMEDIATE SCHOOL,School,2940,0.567,0,0.4644,10.26,0
33010850,79700031,Ekurhuleni,WATTVILLE YOUTH CENTRE,Hall/Centre,2983,0.5488,0,0.4644,8.44,0
33020345,79700031,Ekurhuleni,VAN DYK PRIMARY SCHOOL,School,4543,0.7004,0,0.4644,23.6,0
33020356,79700032,Ekurhuleni,PARKRAND PRIMARY SCHOOL,School,1982,0.7402,0,0.5839,15.63,0
33020367,79700032,Ekurhuleni,BAANBREKER LAERSKOOL,School,2958,0.7809,0,0.5839,19.7,0
33020378,79700032,Ekurhuleni,PARKDENE PRIMARY SCHOOL,School,3425,0.6911,0,0.5839,10.72,0
33020479,79700033,Ekurhuleni,TENT (DELMOORE PARK),Tent,1822,0.562,1,0.5045,5.75,0
33020503,79700033,Ekurhuleni,LIGHT OF THE WORLD MINISTRIES,Church,4023,0.394,0,0.5045,-11.05,1
33020525,79700033,Ekurhuleni,LAERSKOOL WITFIELD.,School,2773,0.7122,0,0.5045,20.77,0
33020390,79700034,Ekurhuleni,DROMMEDARIS PRIMARY SCHOOL,School,2959,0.6671,0,0.5216,14.55,0
33020402,79700034,Ekurhuleni,OOSRAND SEKONDÊRE SKOOL,Other,1359,0.663,0,0.5216,14.14,0
33020413,79700034,Ekurhuleni,CHRISTIAN REFORMED - CHURCH,Church,3133,0.6866,0,0.5216,16.5,0
33060721,79700035,Ekurhuleni,GALWAY PRIMARY SCHOOL,School,3838,0.377,0,0.4259,-4.89,1
33060732,79700035,Ekurhuleni,DUKATHOLE CLINIC,Other,3199,0.4476,0,0.4259,2.17,0
33060743,79700035,Ekurhuleni,EKURHULENI PRIMARY SCHOOL,School,2936,0.4707,0,0.4259,4.48,0
33060710,79700036,Ekurhuleni,GERMISTON HIGH SCHOOL,School,1543,0.6377,0,0.571,6.67,0
33060787,79700036,Ekurhuleni,WYCHWOOD PRIMARY SCHOOL,School,2985,0.594,0,0.571,2.3,0
33060798,79700036,Ekurhuleni,PRIMROSE PRIMARY SCHOOL,School,4198,0.6086,0,0.571,3.76,0
33000275,79700037,Ekurhuleni,ALBERTON RUGBY CLUB,Other,3615,0.7615,0,0.586,17.55,0
33000309,79700037,Ekurhuleni,LAERSKOOL PRESIDENT STEYN,School,4836,0.7364,0,0.586,15.04,0
33000321,79700037,Ekurhuleni,ALBERTON TEACHER`S CENTRE,Hall/Centre,3709,0.6215,0,0.586,3.55,0
33000196,79700038,Ekurhuleni,EKURHULENI WEST COLLEGE,School,3701,0.7384,0,0.5944,14.4,0
33000208,79700038,Ekurhuleni,GLENBRACK JUNIOR HIGH SCHOOL,School,3258,0.7287,0,0.5944,13.43,0
33000219,79700038,Ekurhuleni,LAERSKOOL ORION,School,2013,0.7124,0,0.5944,11.8,0
33060013,79700039,Ekurhuleni,BOYS SCOUTS HALL,Hall/Centre,2341,0.7228,0,0.5725,15.03,0
33060664,79700039,Ekurhuleni,DINWIDDIE HIGH SCHOOL,School,2788,0.6686,0,0.5725,9.61,0
33060675,79700039,Ekurhuleni,ELSBURG HALL,Hall/Centre,4279,0.6597,0,0.5725,8.72,0
33060529,79700040,Ekurhuleni,AME CHURCH,Church,2900,0.5117,0,0.4234,8.83,0
33060631,79700040,Ekurhuleni,LEONDALE HALL,Hall/Centre,3505,0.5389,0,0.4234,11.55,0
33061036,79700040,Ekurhuleni,BUHLE PARK SECONDARY SCHOOL,School,4507,0.5325,0,0.4234,10.91,0
33060642,79700041,Ekurhuleni,RONDEBULT EXT2 SEC SCHOOL,School,2941,0.491,0,0.4251,6.59,0
33060990,79700041,Ekurhuleni,PHUMULA GARDENS PRIMARY SCHOOL,School,4709,0.5005,0,0.4251,7.54,0
33061058,79700041,Ekurhuleni,FAITH CHURCH.,Church,5993,0.4524,0,0.4251,2.73,0
33020389,79700042,Ekurhuleni,CONQUERORS THROUGH CHRIST MINISTRIES,Church,6552,0.4863,0,0.4338,5.25,0
33020738,79700042,Ekurhuleni,NONCEDO DAY CARE CENTRE,Hall/Centre,1756,0.623,0,0.4338,18.92,0
33060653,79700042,Ekurhuleni,SCHOOL OF ACHIEVEMENT,School,5348,0.6698,0,0.4338,23.6,0
33020299,79700043,Ekurhuleni,FALCON EDUCATIONAL SCHOOL,School,3507,0.5381,0,0.4878,5.03,0
33020312,79700043,Ekurhuleni,SUNWARD PARK HIGH SCHOOL,School,2375,0.7415,0,0.4878,25.37,0
33020323,79700043,Ekurhuleni,FREEWAY PARK PRIMARY SCHOOL,School,2898,0.7277,0,0.4878,23.99,0
33020042,79700044,Ekurhuleni,KUTLOANONG PRIMARY SCHOOL,School,2077,0.6273,0,0.4241,20.32,0
33020053,79700044,Ekurhuleni,ILLINGE HIGH SCHOOL,School,2705,0.5231,0,0.4241,9.9,0
33020064,79700044,Ekurhuleni,KHAYELIHLE PRIMARY SCHOOL,School,3005,0.6233,0,0.4241,19.92,0
33020222,79700045,Ekurhuleni,MASITHWALISANE SECONDARY SCHOOL,School,2871,0.567,0,0.4076,15.94,0
33020244,79700045,Ekurhuleni,BOPANG KGOTSO SCHOOL,School,2721,0.5671,0,0.4076,15.95,0
33020255,79700045,Ekurhuleni,TENT (TONYS MINI MARKET),Tent,2338,0.5192,1,0.4076,11.16,0
33020110,79700046,Ekurhuleni,ORHOVELANI EDUCATION CENTRE,Hall/Centre,2624,0.4253,0,0.4208,0.45,0
33020132,79700046,Ekurhuleni,MTHIMKHULU PRIMARY SCHOOL,School,2845,0.5466,0,0.4208,12.58,0
33020187,79700046,Ekurhuleni,J.D. DUMANE COMMUNITY CENTRE,Hall/Centre,3175,0.6091,0,0.4208,18.83,0
33020075,79700047,Ekurhuleni,METHODIST CHURCH,Church,2511,0.6101,0,0.4236,18.65,0
33020086,79700047,Ekurhuleni,THABANG PRIMARY SCHOOL,School,3512,0.5769,0,0.4236,15.33,0
33020097,79700047,Ekurhuleni,ITUMELENG NURSERY AND PRE-SCHOOL,School,2924,0.5339,0,0.4236,11.03,0
33060282,79700048,Ekurhuleni,SONQOBA SCHOOL,School,2405,0.6108,0,0.4249,18.59,0
33060293,79700048,Ekurhuleni,PHUMULANE SCHOOL,School,2601,0.5644,0,0.4249,13.95,0
33060327,79700048,Ekurhuleni,MPONTSHENG HIGH SCHOOL,School,2089,0.5907,0,0.4249,16.58,0
33060372,79700049,Ekurhuleni,MATSHEDISO SCHOOL,School,2352,0.5536,0,0.4205,13.31,0
33060383,79700049,Ekurhuleni,EWC KATHORUS COLLEGE,School,2545,0.5576,0,0.4205,13.71,0
33060394,79700049,Ekurhuleni,KEKETSO PRIMARY SCHOOL,School,2595,0.5491,0,0.4205,12.86,0
33060439,79700050,Ekurhuleni,TENT @ FREEDOM PARK SQUARE,Tent,2744,0.5102,1,0.4126,9.76,0
33060440,79700050,Ekurhuleni,PHUMELELA COMBINED SCHOOL,School,1448,0.5684,0,0.4126,15.58,0
33060462,79700050,Ekurhuleni,DE BRUYN PRIMARY SCHOOL,School,1220,0.618,0,0.4126,20.54,0
33060563,79700051,Ekurhuleni,TAMAHO CHILD CARE CENTRE,Hall/Centre,2627,0.4926,0,0.4186,7.4,0
33060574,79700051,Ekurhuleni,TAMAHO PRIMARY SCHOOL,School,2721,0.4778,0,0.4186,5.92,0
33060585,79700051,Ekurhuleni,WORD OF LIFE VICTORY CENTRE,Hall/Centre,2263,0.5082,0,0.4186,8.96,0
33000185,79700052,Ekurhuleni,THOKOZA AUDITORIUM HALL,Hall/Centre,5316,0.4549,0,0.3935,6.14,0
33000343,79700052,Ekurhuleni,BAMBANANI DAYCARE CENTRE,Hall/Centre,1541,0.4601,0,0.3935,6.66,0
33060484,79700052,Ekurhuleni,SAMSON PRIMARY SCHOOL,School,2162,0.5296,0,0.3935,13.61,0
33000062,79700053,Ekurhuleni,PHOLA PARK HALL,Hall/Centre,4074,0.4951,0,0.4015,9.36,0
33000073,79700053,Ekurhuleni,TIISETSONG HIGH SCHOOL,School,2762,0.5608,0,0.4015,15.93,0
33000398,79700053,Ekurhuleni,TENT (THINASONKE EXT.3),Tent,731,0.6416,1,0.4015,24.01,0
33000130,79700054,Ekurhuleni,UNITING REFORMED CHURCH,Church,2119,0.5833,0,0.426,15.73,0
33000141,79700054,Ekurhuleni,LUTHERAN CHURCH,Church,2085,0.5496,0,0.426,12.36,0
33000152,79700054,Ekurhuleni,REFORM APOSTOLIC CHURCH OF S.A  ( THINTWA VILLAGE),Church,2731,0.5925,0,0.426,16.65,0
33060260,79700055,Ekurhuleni,NOKULUNGO PRIMARY SCHOOL,School,1591,0.6166,0,0.4278,18.88,0
33060305,79700055,Ekurhuleni,THEMBALETHU PRIMARY SCHOOL,School,1733,0.5828,0,0.4278,15.5,0
33060316,79700055,Ekurhuleni,KATLEHONG TECHNICAL CENTRE,Hall/Centre,2032,0.4926,0,0.4278,6.48,0
33000084,79700056,Ekurhuleni,UMZAMO PRIMARY SCHOOL,School,1986,0.5881,0,0.4242,16.39,0
33000095,79700056,Ekurhuleni,NEW BRETHERN APOSTOLIC CHURCH,Church,2357,0.6135,0,0.4242,18.93,0
33000107,79700056,Ekurhuleni,SAM NTULI SPORTS CENTRE,Hall/Centre,2837,0.6225,0,0.4242,19.83,0
33000017,79700057,Ekurhuleni,J.D THOMAS HALL,Hall/Centre,3406,0.6025,0,0.4318,17.07,0
33000028,79700057,Ekurhuleni,EDENPARK HIGH SCHOOL,School,3193,0.6301,0,0.4318,19.83,0
33000040,79700057,Ekurhuleni,MOHLODI PRIMARY SCHOOL,School,3833,0.5189,0,0.4318,8.71,0
33000332,79700058,Ekurhuleni,GREENFIELDS COMMUNITY HALL,Hall/Centre,5560,0.5944,0,0.4163,17.81,0
33061025,79700058,Ekurhuleni,REALEBOHA PRIMARY SCHOOL,School,3859,0.5387,0,0.4163,12.24,0
33061047,79700058,Ekurhuleni,INTERNATIONAL PENTECOSTAL HOLINESS CHURCH,Church,2786,0.5215,0,0.4163,10.52,0
33060237,79700059,Ekurhuleni,PONEGO SCHOOL,School,3074,0.6028,0,0.4304,17.24,0
33060248,79700059,Ekurhuleni,HLESIPHI SCHOOL,School,1875,0.5733,0,0.4304,14.29,0
33060271,79700059,Ekurhuleni,BETHESDA EVANGELICAL CHURCH.,Church,2660,0.5447,0,0.4304,11.43,0
33060114,79700060,Ekurhuleni,ABRAM HLOPE PRIMARY SCHOOL,School,3676,0.6387,0,0.4136,22.51,0
33060125,79700060,Ekurhuleni,TENT - MOLELEKI EXT 1,Tent,2053,0.6327,1,0.4136,21.91,0
33060215,79700060,Ekurhuleni,THE TRUE VINE WORSHIP CENTRE,Hall/Centre,3095,0.5771,0,0.4136,16.35,0
33000376,79700061,Ekurhuleni,THABOTONA PRIMARY SCHOOL 34,School,2643,0.5516,0,0.4047,14.69,0
33000477,79700061,Ekurhuleni,PHEASANT FOLLY PRIMARY SCHOOL,School,1289,0.8161,0,0.4047,41.14,0
33060024,79700061,Ekurhuleni,APOSTOLIC GOSPEL CHURCH INTERNATIONAL,Church,2388,0.5561,0,0.4047,15.14,0
33020761,79700062,Ekurhuleni,TENT THULASIZWE GROUND,Tent,212,0.7406,1,0.4195,32.11,0
33060057,79700062,Ekurhuleni,FATHER MASANGO`S ST JOHN`S APOSTOLIC FAITH MISSION,Other,2194,0.4968,0,0.4195,7.73,0
33060068,79700062,Ekurhuleni,MANZINI PRIMARY SCHOOL,School,4057,0.6017,0,0.4195,18.22,0
33060170,79700063,Ekurhuleni,BEULAH CHRISTIANS FELLOWSHIP,Other,2315,0.5533,0,0.4246,12.87,0
33060181,79700063,Ekurhuleni,AMAKHANDONIYA CHURCH OF GOD,Church,1832,0.6021,0,0.4246,17.75,0
33060192,79700063,Ekurhuleni,THUTOPELE SECONDARY SCHOOL.,School,2833,0.5595,0,0.4246,13.49,0
33020176,79700064,Ekurhuleni,KHULISA COMMUNITY HALL,Hall/Centre,3591,0.4884,0,0.4192,6.92,0
33020200,79700064,Ekurhuleni,ERASMUS MONARENG SECONDARY SCHOOL,School,3893,0.5718,0,0.4192,15.26,0
33020211,79700064,Ekurhuleni,TEMPORARY VOTING STATION (VACANT SCHOOL SITE),School,2314,0.5389,0,0.4192,11.97,0
33010018,79700065,Ekurhuleni,THEMBELIHLE PRIMARY SCHOOL,School,4466,0.5249,0,0.4147,11.02,0
33010029,79700065,Ekurhuleni,TENT (EMAPHUPHENI WATER TANK),Tent,2469,0.5974,1,0.4147,18.27,0
33010030,79700065,Ekurhuleni,PHANDIMFUNDO SECONDARY SCHOOL,School,2858,0.5927,0,0.4147,17.8,0
33010041,79700066,Ekurhuleni,KGOLAGANO PRIMARY SCHOOL,School,2840,0.5884,0,0.4121,17.63,0
33010063,79700066,Ekurhuleni,ROLIHLAHLA PRIMARY SCHOOL,School,2443,0.6021,0,0.4121,19.0,0
33010074,79700066,Ekurhuleni,TENT (PHILLIP MOYO MEMORIAL HEALTH CLINIC),Tent,2006,0.6157,1,0.4121,20.36,0
33010085,79700067,Ekurhuleni,CAIPHUS NYOKA HIGH SCHOOL,School,2825,0.5366,0,0.4293,10.73,0
33010108,79700067,Ekurhuleni,TSHEPO THEMBA,Other,2635,0.6175,0,0.4293,18.82,0
33010120,79700067,Ekurhuleni,EMMANUEL BAPTIST CHURCH,Church,1988,0.5407,0,0.4293,11.14,0
33010265,79700068,Ekurhuleni,MBIKWA CINDI HALL,Hall/Centre,2431,0.5664,0,0.4056,16.08,0
33010276,79700068,Ekurhuleni,AFRICAN CATHOLIC CHURCH,Church,1926,0.5867,0,0.4056,18.11,0
33010287,79700068,Ekurhuleni,SIPHETHU PRIMARY SCHOOL,School,1910,0.5471,0,0.4056,14.15,0
33010322,79700069,Ekurhuleni,DAVEY SENIOR SECONDARY SCHOOL,School,987,0.5147,0,0.424,9.07,0
33010333,79700069,Ekurhuleni,HB NYATHI SECONDARY SCHOOL,School,1185,0.5646,0,0.424,14.06,0
33010344,79700069,Ekurhuleni,BHEKIMFUNDO PRIMARY SCHOOL,School,2685,0.5371,0,0.424,11.31,0
33010412,79700070,Ekurhuleni,RIVONI SECONDARY SCHOOL,School,1997,0.5323,0,0.4247,10.76,0
33010423,79700070,Ekurhuleni,KGALEMA PRIMARY SCHOOL,School,1931,0.5396,0,0.4247,11.49,0
33010434,79700070,Ekurhuleni,BAIKAGETSE INTERMEDIATE SCHOOL,School,2411,0.5077,0,0.4247,8.3,0
33010445,79700071,Ekurhuleni,VICTOR NDLAZILWANE HALL,Hall/Centre,2561,0.4533,0,0.423,3.03,0
33010535,79700071,Ekurhuleni,TIMKEN YOUTH CENTRE,Hall/Centre,1659,0.563,0,0.423,14.0,0
33010546,79700071,Ekurhuleni,HULWAZI SCHOOL,School,2490,0.5092,0,0.423,8.62,0
33090106,79700072,Ekurhuleni,MORESTER PRIMARY SCHOOL,School,2319,0.6494,0,0.4747,17.47,0
33090397,79700072,Ekurhuleni,DR WK DU PLESSIS 2 (KLOP KLOPPIE),Other,1761,0.6604,0,0.4747,18.57,0
33090409,79700072,Ekurhuleni,JAMESON GIRLS HIGH SCHOOL,School,1633,0.6871,0,0.4747,21.24,0
33010704,79700073,Ekurhuleni,RON HOWIE HALL,Hall/Centre,1692,0.607,0,0.4693,13.77,0
33010737,79700073,Ekurhuleni,WILLOW MOORE HIGH SCHOOL,School,1946,0.5267,0,0.4693,5.74,0
33010748,79700073,Ekurhuleni,BENONI CITY HALL,Hall/Centre,3707,0.59,0,0.4693,12.07,0
33030469,79700074,Ekurhuleni,GOSPEL TRUTH CHURH,Other,1243,0.5181,0,0.4345,8.36,0
33090195,79700074,Ekurhuleni,MARGARET MALTMAN CRECHE,Other,2491,0.5861,0,0.4345,15.16,0
33090207,79700074,Ekurhuleni,THEO TWALA PRIMARY SCHOOL,School,2611,0.535,0,0.4345,10.05,0
33090117,79700075,Ekurhuleni,WELGEDAG PRIMARY SCHOOL,School,2040,0.576,0,0.4829,9.31,0
33090218,79700075,Ekurhuleni,VUKUCINGE PRIMARY SCHOOL,School,2655,0.5307,0,0.4829,4.78,0
33090342,79700075,Ekurhuleni,LAERSKOOL WERDA,School,1719,0.6079,0,0.4829,12.5,0
33090285,79700076,Ekurhuleni,SPRINGS GIRLS HIGH SCHOOL,School,2340,0.6979,0,0.5537,14.42,0
33090296,79700076,Ekurhuleni,TENT-NEXT TO ST CATHRINE`S CATHOLIC CHURCH,Tent,1858,0.7201,1,0.5537,16.64,0
33090308,79700076,Ekurhuleni,LAERSKOOL SELECTION PARK,School,2891,0.6562,0,0.5537,10.25,0
