Municipality,Ward,VotingDistrict,VotingStationName,RegisteredVoters,SpoiltVotes,TotalValidVotes,PartyName,BallotType
EKU,Ward 79700005,32890158,BOITUMELONG SENIOR SECONDARY  SCHOOL,2665,19,562,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700005,32890158,BOITUMELONG SENIOR SECONDARY  SCHOOL,2665,19,438,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700005,32890158,BOITUMELONG SENIOR SECONDARY  SCHOOL,2665,19,150,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700005,32890158,BOITUMELONG SENIOR SECONDARY  SCHOOL,2665,19,100,ACTIONSA,Ward
EKU,Ward 79700005,32890169,THLAKANANG PRIMARY SCHOOL,3059,21,633,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700005,32890169,THLAKANANG PRIMARY SCHOOL,3059,21,492,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700005,32890169,THLAKANANG PRIMARY SCHOOL,3059,21,169,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700005,32890169,THLAKANANG PRIMARY SCHOOL,3059,21,112,ACTIONSA,Ward
EKU,Ward 79700005,32890259,SEDIBENG PRIMARY SCHOOL,1958,16,473,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700005,32890259,SEDIBENG PRIMARY SCHOOL,1958,16,368,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700005,32890259,SEDIBENG PRIMARY SCHOOL,1958,16,126,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700005,32890259,SEDIBENG PRIMARY SCHOOL,1958,16,84,ACTIONSA,Ward
EKU,Ward 79700006,32890293,MVELAPHANDA PRIMARY SCHOOL,2452,17,503,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700006,32890293,MVELAPHANDA PRIMARY SCHOOL,2452,17,391,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700006,32890293,MVELAPHANDA PRIMARY SCHOOL,2452,17,134,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700006,32890293,MVELAPHANDA PRIMARY SCHOOL,2452,17,89,ACTIONSA,Ward
EKU,Ward 79700006,32890338,TEMBISA HIGH SCHOOL,1293,9,273,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700006,32890338,TEMBISA HIGH SCHOOL,1293,9,212,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700006,32890338,TEMBISA HIGH SCHOOL,1293,9,73,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700006,32890338,TEMBISA HIGH SCHOOL,1293,9,49,ACTIONSA,Ward
EKU,Ward 79700006,32890349,CHILD ACADEMY EDUCARE CENTRE,1768,14,399,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700006,32890349,CHILD ACADEMY EDUCARE CENTRE,1768,14,310,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700006,32890349,CHILD ACADEMY EDUCARE CENTRE,1768,14,106,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700006,32890349,CHILD ACADEMY EDUCARE CENTRE,1768,14,71,ACTIONSA,Ward
EKU,Ward 79700007,32890305,THUTO KE MATLA COMPREHENSIVE SCHOOL,2170,15,457,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700007,32890305,THUTO KE MATLA COMPREHENSIVE SCHOOL,2170,15,356,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700007,32890305,THUTO KE MATLA COMPREHENSIVE SCHOOL,2170,15,122,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700007,32890305,THUTO KE MATLA COMPREHENSIVE SCHOOL,2170,15,81,ACTIONSA,Ward
EKU,Ward 79700007,32890316,TRANSVAAL BASOTHO LUTHERN CHURCH,3050,22,644,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700007,32890316,TRANSVAAL BASOTHO LUTHERN CHURCH,3050,22,501,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700007,32890316,TRANSVAAL BASOTHO LUTHERN CHURCH,3050,22,172,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700007,32890316,TRANSVAAL BASOTHO LUTHERN CHURCH,3050,22,114,ACTIONSA,Ward
EKU,Ward 79700007,32890327,BERTHARRY ENGLISH PRIVATE SCHOOL,3477,24,702,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700007,32890327,BERTHARRY ENGLISH PRIVATE SCHOOL,3477,24,546,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700007,32890327,BERTHARRY ENGLISH PRIVATE SCHOOL,3477,24,187,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700007,32890327,BERTHARRY ENGLISH PRIVATE SCHOOL,3477,24,125,ACTIONSA,Ward
EKU,Ward 79700008,32890260,EMANGWENI PRIMARY SCHOOL,3430,22,664,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700008,32890260,EMANGWENI PRIMARY SCHOOL,3430,22,516,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700008,32890260,EMANGWENI PRIMARY SCHOOL,3430,22,177,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700008,32890260,EMANGWENI PRIMARY SCHOOL,3430,22,118,ACTIONSA,Ward
EKU,Ward 79700008,32890271,UNITED CONGREGATIONAL CHURCH OF S.A.,3218,21,607,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700008,32890271,UNITED CONGREGATIONAL CHURCH OF S.A.,3218,21,472,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700008,32890271,UNITED CONGREGATIONAL CHURCH OF S.A.,3218,21,162,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700008,32890271,UNITED CONGREGATIONAL CHURCH OF S.A.,3218,21,108,ACTIONSA,Ward
EKU,Ward 79700008,32890709,MUNICIPAL BUILDING ESSELENPARK EXT. 1,4138,30,899,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700008,32890709,MUNICIPAL BUILDING ESSELENPARK EXT. 1,4138,30,699,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700008,32890709,MUNICIPAL BUILDING ESSELENPARK EXT. 1,4138,30,240,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700008,32890709,MUNICIPAL BUILDING ESSELENPARK EXT. 1,4138,30,160,ACTIONSA,Ward
EKU,Ward 79700009,32890361,SEOTLOANA PRIMARY SCHOOL,4042,26,769,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700009,32890361,SEOTLOANA PRIMARY SCHOOL,4042,26,598,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700009,32890361,SEOTLOANA PRIMARY SCHOOL,4042,26,205,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700009,32890361,SEOTLOANA PRIMARY SCHOOL,4042,26,137,ACTIONSA,Ward
EKU,Ward 79700009,32890372,BULAMEHLO CREHCHE,2957,18,526,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700009,32890372,BULAMEHLO CREHCHE,2957,18,409,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700009,32890372,BULAMEHLO CREHCHE,2957,18,140,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700009,32890372,BULAMEHLO CREHCHE,2957,18,93,ACTIONSA,Ward
EKU,Ward 79700009,32890383,GEREFORMEERDE KERK TEMBISA WEST,1743,13,390,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700009,32890383,GEREFORMEERDE KERK TEMBISA WEST,1743,13,303,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700009,32890383,GEREFORMEERDE KERK TEMBISA WEST,1743,13,104,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700009,32890383,GEREFORMEERDE KERK TEMBISA WEST,1743,13,69,ACTIONSA,Ward
EKU,Ward 79700010,32890394,BOJELONG PRIMARY SCHOOL,3525,27,807,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700010,32890394,BOJELONG PRIMARY SCHOOL,3525,27,628,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700010,32890394,BOJELONG PRIMARY SCHOOL,3525,27,215,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700010,32890394,BOJELONG PRIMARY SCHOOL,3525,27,143,ACTIONSA,Ward
EKU,Ward 79700010,32890417,WELAMLAMBO PRIMARY SCHOOL,1760,11,336,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700010,32890417,WELAMLAMBO PRIMARY SCHOOL,1760,11,261,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700010,32890417,WELAMLAMBO PRIMARY SCHOOL,1760,11,90,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700010,32890417,WELAMLAMBO PRIMARY SCHOOL,1760,11,60,ACTIONSA,Ward
EKU,Ward 79700010,32900150,KHATLAMPING PRIMARY SCHOOL,4128,33,963,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700010,32900150,KHATLAMPING PRIMARY SCHOOL,4128,33,749,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700010,32900150,KHATLAMPING PRIMARY SCHOOL,4128,33,257,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700010,32900150,KHATLAMPING PRIMARY SCHOOL,4128,33,171,ACTIONSA,Ward
EKU,Ward 79700011,32900161,IPONTSHE PRIMARY SCHOOL,3302,24,720,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700011,32900161,IPONTSHE PRIMARY SCHOOL,3302,24,560,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700011,32900161,IPONTSHE PRIMARY SCHOOL,3302,24,192,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700011,32900161,IPONTSHE PRIMARY SCHOOL,3302,24,128,ACTIONSA,Ward
EKU,Ward 79700011,32900172,METHODIST CHURCH OF SA,2657,19,563,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700011,32900172,METHODIST CHURCH OF SA,2657,19,438,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700011,32900172,METHODIST CHURCH OF SA,2657,19,150,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700011,32900172,METHODIST CHURCH OF SA,2657,19,100,ACTIONSA,Ward
EKU,Ward 79700011,32900183,PHUTHUMANI PRIMARY SCHOOL,4076,29,859,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700011,32900183,PHUTHUMANI PRIMARY SCHOOL,4076,29,668,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700011,32900183,PHUTHUMANI PRIMARY SCHOOL,4076,29,229,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700011,32900183,PHUTHUMANI PRIMARY SCHOOL,4076,29,153,ACTIONSA,Ward
EKU,Ward 79700012,32900116,OR TAMBO PRIMARY SCHOOL,5210,36,1074,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700012,32900116,OR TAMBO PRIMARY SCHOOL,5210,36,835,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700012,32900116,OR TAMBO PRIMARY SCHOOL,5210,36,286,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700012,32900116,OR TAMBO PRIMARY SCHOOL,5210,36,191,ACTIONSA,Ward
EKU,Ward 79700012,32900127,PHOMOLONG PRIMARY SCHOOL,5112,36,1077,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700012,32900127,PHOMOLONG PRIMARY SCHOOL,5112,36,838,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700012,32900127,PHOMOLONG PRIMARY SCHOOL,5112,36,287,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700012,32900127,PHOMOLONG PRIMARY SCHOOL,5112,36,192,ACTIONSA,Ward
EKU,Ward 79700012,32900149,PETER ZONGWANE PRIMARY SCHOOL,4695,29,867,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700012,32900149,PETER ZONGWANE PRIMARY SCHOOL,4695,29,674,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700012,32900149,PETER ZONGWANE PRIMARY SCHOOL,4695,29,231,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700012,32900149,PETER ZONGWANE PRIMARY SCHOOL,4695,29,154,ACTIONSA,Ward
EKU,Ward 79700013,32890529,BIRCH ACRES PRIMARY SCHOOL,4257,41,1197,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700013,32890529,BIRCH ACRES PRIMARY SCHOOL,4257,41,931,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700013,32890529,BIRCH ACRES PRIMARY SCHOOL,4257,41,319,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700013,32890529,BIRCH ACRES PRIMARY SCHOOL,4257,41,213,ACTIONSA,Ward
EKU,Ward 79700013,32890697,DOMINION LIFE CATHEDRAL CHURCH ( BIRCH ACRES),3741,29,849,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700013,32890697,DOMINION LIFE CATHEDRAL CHURCH ( BIRCH ACRES),3741,29,660,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700013,32890697,DOMINION LIFE CATHEDRAL CHURCH ( BIRCH ACRES),3741,29,226,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700013,32890697,DOMINION LIFE CATHEDRAL CHURCH ( BIRCH ACRES),3741,29,151,ACTIONSA,Ward
EKU,Ward 79700013,32900138,PHOMOLONG SECONDARY SCHOOL,5596,40,1171,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700013,32900138,PHOMOLONG SECONDARY SCHOOL,5596,40,911,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700013,32900138,PHOMOLONG SECONDARY SCHOOL,5596,40,312,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700013,32900138,PHOMOLONG SECONDARY SCHOOL,5596,40,208,ACTIONSA,Ward
EKU,Ward 79700014,32890428,NYIKO PRIMARY SCHOOL,3193,24,706,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700014,32890428,NYIKO PRIMARY SCHOOL,3193,24,549,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700014,32890428,NYIKO PRIMARY SCHOOL,3193,24,188,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700014,32890428,NYIKO PRIMARY SCHOOL,3193,24,125,ACTIONSA,Ward
EKU,Ward 79700014,32890439,MASISEBENZE COMPREHENSIVE SCHOOL,3640,27,805,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700014,32890439,MASISEBENZE COMPREHENSIVE SCHOOL,3640,27,626,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700014,32890439,MASISEBENZE COMPREHENSIVE SCHOOL,3640,27,215,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700014,32890439,MASISEBENZE COMPREHENSIVE SCHOOL,3640,27,143,ACTIONSA,Ward
EKU,Ward 79700014,32890440,MASIQHAKAZE SECONDARY SCHOOL,2708,23,665,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700014,32890440,MASIQHAKAZE SECONDARY SCHOOL,2708,23,517,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700014,32890440,MASIQHAKAZE SECONDARY SCHOOL,2708,23,177,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700014,32890440,MASIQHAKAZE SECONDARY SCHOOL,2708,23,118,ACTIONSA,Ward
EKU,Ward 79700015,32890013,LAERSKOOL KRUINSIG,6256,57,1698,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700015,32890013,LAERSKOOL KRUINSIG,6256,57,1321,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700015,32890013,LAERSKOOL KRUINSIG,6256,57,453,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700015,32890013,LAERSKOOL KRUINSIG,6256,57,302,ACTIONSA,Ward
EKU,Ward 79700015,32890507,WYNAND MARAIS HALL,4448,43,1268,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700015,32890507,WYNAND MARAIS HALL,4448,43,986,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700015,32890507,WYNAND MARAIS HALL,4448,43,338,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700015,32890507,WYNAND MARAIS HALL,4448,43,225,ACTIONSA,Ward
EKU,Ward 79700015,32890552,HOËRSKOOL JEUGLAND,4133,46,1356,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700015,32890552,HOËRSKOOL JEUGLAND,4133,46,1055,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700015,32890552,HOËRSKOOL JEUGLAND,4133,46,362,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700015,32890552,HOËRSKOOL JEUGLAND,4133,46,241,ACTIONSA,Ward
EKU,Ward 79700016,32890024,ASTON MANOR PRIMARY SCHOOL,2752,30,888,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700016,32890024,ASTON MANOR PRIMARY SCHOOL,2752,30,691,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700016,32890024,ASTON MANOR PRIMARY SCHOOL,2752,30,237,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700016,32890024,ASTON MANOR PRIMARY SCHOOL,2752,30,158,ACTIONSA,Ward
EKU,Ward 79700016,32890046,THE OLD APOSTOLIC CHURCH,3093,34,1000,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700016,32890046,THE OLD APOSTOLIC CHURCH,3093,34,778,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700016,32890046,THE OLD APOSTOLIC CHURCH,3093,34,267,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700016,32890046,THE OLD APOSTOLIC CHURCH,3093,34,178,ACTIONSA,Ward
EKU,Ward 79700016,32890585,CIVIC CENTRE KEMPTON PARK,4159,27,797,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700016,32890585,CIVIC CENTRE KEMPTON PARK,4159,27,620,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700016,32890585,CIVIC CENTRE KEMPTON PARK,4159,27,213,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700016,32890585,CIVIC CENTRE KEMPTON PARK,4159,27,142,ACTIONSA,Ward
EKU,Ward 79700017,32890035,LAERSKOOL KEMPTON PARK,3503,23,691,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700017,32890035,LAERSKOOL KEMPTON PARK,3503,23,538,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700017,32890035,LAERSKOOL KEMPTON PARK,3503,23,184,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700017,32890035,LAERSKOOL KEMPTON PARK,3503,23,123,ACTIONSA,Ward
EKU,Ward 79700017,32890608,CRESSLAWN PRIMARY SCHOOL,4215,40,1180,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700017,32890608,CRESSLAWN PRIMARY SCHOOL,4215,40,918,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700017,32890608,CRESSLAWN PRIMARY SCHOOL,4215,40,315,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700017,32890608,CRESSLAWN PRIMARY SCHOOL,4215,40,210,ACTIONSA,Ward
EKU,Ward 79700017,33020480,SUMMERFIELD PRIMARY SCHOOL,4567,54,1591,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700017,33020480,SUMMERFIELD PRIMARY SCHOOL,4567,54,1237,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700017,33020480,SUMMERFIELD PRIMARY SCHOOL,4567,54,424,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700017,33020480,SUMMERFIELD PRIMARY SCHOOL,4567,54,283,ACTIONSA,Ward
EKU,Ward 79700018,32900037,TRINITY PRESBYTERIAN CHURCH,2540,28,814,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700018,32900037,TRINITY PRESBYTERIAN CHURCH,2540,28,633,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700018,32900037,TRINITY PRESBYTERIAN CHURCH,2540,28,217,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700018,32900037,TRINITY PRESBYTERIAN CHURCH,2540,28,145,ACTIONSA,Ward
EKU,Ward 79700018,32900048,EDENVALE COMMUNITY CENTRE,3390,33,989,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700018,32900048,EDENVALE COMMUNITY CENTRE,3390,33,769,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700018,32900048,EDENVALE COMMUNITY CENTRE,3390,33,264,ECONOMIC FREEDOM FIGHTERS,Ward
EKU,Ward 79700018,32900048,EDENVALE COMMUNITY CENTRE,3390,33,176,ACTIONSA,Ward
EKU,Ward 79700018,32900082,EDENGLEN PRIMARY SCHOOL,6793,69,2051,AFRICAN NATIONAL CONGRESS,Ward
EKU,Ward 79700018,32900082,EDENGLEN PRIMARY SCHOOL,6793,69,1595,DEMOCRATIC ALLIANCE,Ward
EKU,Ward 79700018,32900082,EDENGLEN PRIMARY SCHOOL,6793,69,547,ECONOMIC FREEDOM FIGHTERS,Ward
